Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
947,189,771,25,0,25
948,189,771,25,0,25
949,189,771,25,0,25
950,189,771,25,0,25
951,190,771,25,0,25
952,190,771,25,0,25
953,190,771,25,0,25
954,190,771,25,0,25
955,190,771,25,0,25
956,191,771,25,0,25
957,191,771,25,0,25
958,191,771,25,0,25
959,191,771,25,0,25
960,191,771,25,0,25
961,192,771,25,0,25
962,192,771,25,0,25
963,192,771,25,0,25
964,192,771,25,0,25
965,192,771,25,0,25
966,193,771,25,0,25
967,193,771,25,0,25
968,193,771,25,0,25
969,193,771,25,0,25
970,193,771,25,0,25
971,194,771,27,0,27
972,194,771,27,0,27
973,194,771,27,0,27
974,194,771,27,0,27
975,194,771,27,0,27
976,195,771,27,0,27
977,195,771,27,0,27
978,195,771,27,0,27
979,195,771,27,0,27
980,195,771,27,0,27
981,196,771,27,0,27
982,196,771,27,0,27
983,196,771,27,0,27
984,196,771,27,0,27
985,196,776,27,0,27
986,197,776,27,0,27
987,197,776,27,0,27
988,197,776,27,0,27
989,197,776,27,0,27
990,197,776,27,0,27
991,198,776,27,0,27
992,198,776,27,0,27
993,198,776,27,0,27
994,198,776,27,0,27
995,198,776,27,0,27
996,199,776,27,0,27
997,199,776,27,0,27
998,199,776,27,0,27
999,199,776,27,0,27
1000,199,776,27,0,27
1001,200,776,27,0,27
1002,200,776,27,0,27
1003,200,776,27,0,27
1004,200,776,27,0,27
1005,200,776,27,0,27
1006,201,776,27,0,27
1007,201,776,27,0,27
1008,201,776,27,0,27
1009,201,776,27,0,27
1010,201,776,27,0,27
1011,202,776,27,0,27
1012,202,776,27,0,27
1013,202,776,27,0,27
1014,202,776,27,0,27
1015,202,776,27,0,27
1016,203,776,27,0,27
1017,203,776,27,0,27
1018,203,776,27,0,27
1019,203,776,27,0,27
1020,203,776,27,0,27
1021,204,776,29,0,29
1022,204,776,29,0,29
1023,204,776,29,0,29
1024,204,776,29,0,29
1025,204,776,29,0,29
1026,205,776,29,0,29
1027,205,776,29,0,29
1028,205,776,29,0,29
1029,205,776,29,0,29
1030,205,776,29,0,29
1031,206,776,29,0,29
1032,206,776,29,0,29
1033,206,776,29,0,29
1034,206,781,29,0,29
1035,206,781,29,0,29
1036,207,781,29,0,29
1037,207,781,29,0,29
1038,207,781,29,0,29
1039,207,781,29,0,29
1040,207,781,29,0,29
1041,208,781,29,0,29
1042,208,781,29,0,29
1043,208,781,29,0,29
1044,208,781,29,0,29
1045,208,781,29,0,29
1046,209,781,29,0,29
1047,209,781,29,0,29
1048,209,781,29,0,29
