Algorithm,NetSize,MaxPar,Chunk count,Population,BadDevices,Experiment,Completion time
simu2,101,17,10,20,20,10,2185
simu2,101,17,10,20,20,1,2183
simu2,101,17,10,20,20,2,2194
simu2,101,17,10,20,20,3,2181
simu2,101,17,10,20,20,4,2182
simu2,101,17,10,20,20,5,2167
simu2,101,17,10,20,20,6,2183
simu2,101,17,10,20,20,7,2173
simu2,101,17,10,20,20,8,2182
simu2,101,17,10,20,20,9,2524
simu2,101,17,10,30,0,10,2557
simu2,101,17,10,30,0,1,2520
simu2,101,17,10,30,0,2,2551
simu2,101,17,10,30,0,3,2660
simu2,101,17,10,30,0,4,2580
simu2,101,17,10,30,0,5,2593
simu2,101,17,10,30,0,6,2533
simu2,101,17,10,30,0,7,2654
simu2,101,17,10,30,0,8,2574
simu2,101,17,10,30,0,9,2521
simu2,101,17,10,30,10,10,2388
simu2,101,17,10,30,10,1,2619
simu2,101,17,10,30,10,2,2608
simu2,101,17,10,30,10,3,2611
simu2,101,17,10,30,10,4,2558
simu2,101,17,10,30,10,5,2376
simu2,101,17,10,30,10,6,2609
simu2,101,17,10,30,10,7,2555
simu2,101,17,10,30,10,8,2607
simu2,101,17,10,30,10,9,2609
simu2,101,17,10,30,20,10,2299
simu2,101,17,10,30,20,1,2373
simu2,101,17,10,30,20,2,2348
simu2,101,17,10,30,20,3,2328
simu2,101,17,10,30,20,4,2344
simu2,101,17,10,30,20,5,2332
simu2,101,17,10,30,20,6,2349
simu2,101,17,10,30,20,7,2333
simu2,101,17,10,30,20,8,2365
simu2,101,17,10,30,20,9,2339
simu2,101,17,10,40,0,10,2311
simu2,101,17,10,40,0,1,2316
simu2,101,17,10,40,0,2,2313
simu2,101,17,10,40,0,3,2309
simu2,101,17,10,40,0,4,2322
simu2,101,17,10,40,0,5,2306
simu2,101,17,10,40,0,6,2411
simu2,101,17,10,40,0,7,2505
simu2,101,17,10,40,0,8,2336
simu2,101,17,10,40,0,9,2438
simu2,101,17,10,40,10,10,2269
simu2,101,17,10,40,10,1,2243
simu2,101,17,10,40,10,2,2237
simu2,101,17,10,40,10,3,2241
simu2,101,17,10,40,10,4,2331
simu2,101,17,10,40,10,5,2236
simu2,101,17,10,40,10,6,2249
simu2,101,17,10,40,10,7,2261
simu2,101,17,10,40,10,8,2347
simu2,101,17,10,40,10,9,2327
simu2,101,17,10,40,20,10,2296
simu2,101,17,10,40,20,1,2118
simu2,101,17,10,40,20,2,2314
simu2,101,17,10,40,20,3,2307
simu2,101,17,10,40,20,4,2308
simu2,101,17,10,40,20,5,2102
simu2,101,17,10,40,20,6,2126
simu2,101,17,10,40,20,7,2112
simu2,101,17,10,40,20,8,2302
simu2,101,17,10,40,20,9,2130
simu2,101,33,10,0,0,10,2576
simu2,101,33,10,0,0,1,2578
simu2,101,33,10,0,0,2,2582
simu2,101,33,10,0,0,3,2576
simu2,101,33,10,0,0,4,2582
simu2,101,33,10,0,0,5,2576
simu2,101,33,10,0,0,6,2577
simu2,101,33,10,0,0,7,2580
